tweet_id,favorite,retweet
806242860592926720,0,10954
806219024703037440,6180,1142
805958939288408065,0,5048
805932879469572096,7945,1817
805826884734976000,6291,1725
805823200554876929,0,7528
805520635690676224,5527,1566
805487436403003392,8415,2388
805207613751304193,7537,1634
804738756058218496,13091,3620
804475857670639616,5889,1906
804413760345620481,0,3026
804026241225523202,42366,15148
803773340896923648,9630,2598
803692223237865472,0,6976
803638050916102144,10448,3916
803380650405482500,7453,1779
803321560782307329,0,4997
803276597545603072,9624,2310
802952499103731712,8641,1894
802624713319034886,0,2744
802600418706604034,6823,1389
802572683846291456,8590,2376
802323869084381190,15467,5520
802265048156610565,6664,1305
802239329049477120,8722,2474
802185808107208704,0,254
801958328846974976,7423,1608
801854953262350336,1740,222
801538201127157760,7887,1970
801285448605831168,5802,780
801167903437357056,23367,5557
801127390143516673,0,3728
801115127852503040,7739,1994
800859414831898624,654,91
800855607700029440,0,1528
800751577355128832,10162,2656
800513324630806528,12613,2848
800459316964663297,9116,2073
800443802682937345,0,4061
800388270626521089,10695,2644
800188575492947969,0,3727
800141422401830912,14633,2408
800018252395122689,27095,12406
799774291445383169,0,4411
799757965289017345,8043,2023
799422933579902976,7755,1814
799308762079035393,0,5127
799297110730567681,9461,2587
799063482566066176,7747,2358
798933969379225600,12514,4186
798925684722855936,7216,1373
798705661114773508,0,6259
798701998996647937,0,7308
798697898615730177,0,6137
798694562394996736,0,4675
798686750113755136,0,2196
798682547630837760,0,4470
798673117451325440,0,5267
798665375516884993,0,3699
798644042770751489,0,1749
798628517273620480,0,1871
798585098161549313,0,5320
798576900688019456,0,5517
798340744599797760,0,3164
798209839306514432,10004,2436
797971864723324932,11058,2911
797545162159308800,13987,4647
797236660651966464,19081,6201
797165961484890113,215,25
796904159865868288,0,8416
796865951799083009,7373,1845
796759840936919040,11299,2862
796563435802726400,0,6800
796484825502875648,7250,1665
796387464403357696,10538,3917
796177847564038144,0,13471
796149749086875649,30760,13471
796125600683540480,4766,1696
796116448414461957,8715,2267
796080075804475393,8081,2183
796031486298386433,10360,3523
795464331001561088,47127,22126
795400264262053889,9589,2699
795076730285391872,15455,5139
794983741416415232,0,3179
794926597468000259,9758,2176
794355576146903043,0,9738
794332329137291264,9219,2553
794205286408003585,8841,3138
793962221541933056,16038,4619
793845145112371200,8839,1757
793614319594401792,0,2947
793601777308463104,7640,1525
793500921481273345,10202,2249
793286476301799424,23521,8654
793271401113350145,8323,2267
793256262322548741,19071,7872
793241302385262592,10061,3106
793226087023144960,9357,2737
793210959003287553,8543,2628
793195938047070209,14555,5319
793180763617361921,6617,1876
793165685325201412,8980,2639
793150605191548928,5900,1603
793135492858580992,6131,2373
793120401413079041,12119,3709
792913359805018113,13701,3737
792883833364439040,10799,4044
792773781206999040,7059,1585
792394556390137856,12819,4045
792050063153438720,6835,1683
791821351946420224,0,19872
791784077045166082,0,8959
791780927877898241,0,3580
791774931465953280,43043,20914
791672322847637504,11236,2947
791406955684368384,12583,3887
791312159183634433,8389,2386
791026214425268224,0,3849
790987426131050500,9378,2003
790946055508652032,15974,4419
790723298204217344,0,2167
790698755171364864,7873,1818
790581949425475584,19714,6702
790337589677002753,7486,1784
790277117346975746,11995,2981
790227638568808452,0,3343
789986466051088384,8874,2167
789960241177853952,0,3877
789903600034189313,9868,3905
789628658055020548,7147,1659
789599242079838210,6428,1806
789530877013393408,11182,3179
789314372632018944,8258,2157
789280767834746880,0,4621
789268448748703744,8729,2464
789137962068021249,9301,2628
788908386943430656,26278,11786
788765914992902144,26121,9738
788552643979468800,0,6708
788412144018661376,14824,4968
788178268662984705,6941,1989
788150585577050112,5842,1208
788070120937619456,0,3238
788039637453406209,5837,1241
787810552592695296,8213,2862
787717603741622272,9790,2607
787397959788929025,10417,2693
787322443945877504,7453,1638
787111942498508800,0,6343
786963064373534720,25474,7502
786729988674449408,0,2290
786709082849828864,17483,5775
786664955043049472,10123,2384
786595970293370880,9061,2954
786363235746385920,10359,3248
786286427768250368,7611,2668
786233965241827333,14523,4427
786051337297522688,1365,150
786036967502913536,0,6544
785927819176054784,10901,3013
785872687017132033,6388,1686
785639753186217984,7524,2115
785533386513321988,8656,1853
785515384317313025,5851,1179
785264754247995392,6946,1528
785170936622350336,11456,4534
784826020293709826,9629,3026
784517518371221505,8571,2378
784431430411685888,5478,1194
784183165795655680,19088,7528
784057939640352768,28311,10423
783839966405230592,28591,10128
783821107061198850,7035,1839
783695101801398276,9935,3012
783466772167098368,8043,2089
783391753726550016,16108,5126
783347506784731136,0,5185
783334639985389568,27685,10954
783085703974514689,7795,2038
782969140009107456,23002,6943
782747134529531904,7124,1330
782722598790725632,16416,5048
782598640137187329,7443,1775
782305867769217024,15829,5165
782021823840026624,0,5788
781955203444699136,10649,3164
781661882474196992,9941,2544
781655249211752448,3813,1063
781524693396357120,19734,5186
781308096455073793,6799,2396
781251288990355457,7973,1946
781163403222056960,9347,2599
780931614150983680,20619,6800
780858289093574656,6866,1881
780800785462489090,5229,1208
780601303617732608,11519,3136
780543529827336192,5989,1639
780496263422808064,0,3460
780476555013349377,0,104
780459368902959104,5038,1011
780192070812196864,8274,2108
780092040432480260,0,2151
780074436359819264,11511,4613
779834332596887552,17873,6544
779377524342161408,8325,2912
779124354206535695,0,17106
779056095788752897,14030,4243
778990705243029504,18881,6694
778774459159379968,0,9220
778764940568104960,825,339
778748913645780993,6512,1217
778650543019483137,5449,1399
778624900596654080,4366,944
778408200802557953,12952,4036
778396591732486144,0,11411
778383385161035776,5541,1024
778286810187399168,9829,3089
778039087836069888,8039,2485
778027034220126208,6237,1501
777953400541634568,0,3290
777885040357281792,6036,1525
777684233540206592,10702,2744
777641927919427584,0,3950
777621514455814149,8289,2353
777189768882946048,13425,4014
776819012571455488,0,12699
776813020089548800,4638,1124
776477788987613185,8310,2581
776249906839351296,0,8524
776218204058357768,28297,14822
776201521193218049,9076,2354
